embedding1,embedding2,embedding3,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,alexa_resgatedconv,0.47823129251700675,0.5957446808510638,0.5531914893617021,0.5201288244766505,0.5402930402930403,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,0.3649436982770316,0.8297872340425532,0.3829787234042553,0.42246642246642246,0.41391941391941395,small,factuality
gpt_sage,gpt_graphconv,onsite_sage,0.4172570850202429,1.0888888888888888,0.37777777777777777,0.6259920634920636,0.5164835164835165,small,factuality
gpt_sage,gpt_graphconv,onsite_graphconv,0.3114183307731695,0.9777777777777777,0.37777777777777777,0.43274853801169594,0.3721001221001221,small,factuality
gpt_sage,gpt_graphconv,articles,0.6873219373219372,0.2553191489361702,0.7659574468085106,0.6925407925407926,0.7124542124542126,small,factuality
gpt_sage,gpt_graphconv,wiki,0.48905932776900524,0.44680851063829785,0.6170212765957447,0.49660633484162897,0.4945054945054945,small,factuality
gpt_sage,alexa_resgatedconv,alexa_graphconv,0.4829890019529242,0.6595744680851063,0.5319148936170213,0.5175848117024587,0.5146520146520147,small,factuality
gpt_sage,alexa_resgatedconv,onsite_sage,0.488034188034188,0.5777777777777777,0.5777777777777777,0.5128205128205128,0.5173992673992673,small,factuality
gpt_sage,alexa_resgatedconv,onsite_graphconv,0.4312169312169312,0.4444444444444444,0.6666666666666666,0.43355855855855857,0.4594017094017094,small,factuality
gpt_sage,alexa_resgatedconv,articles,0.5618467553951425,0.2765957446808511,0.723404255319149,0.5674962292609352,0.5695970695970697,small,factuality
gpt_sage,alexa_resgatedconv,wiki,0.4545454545454546,0.5531914893617021,0.574468085106383,0.4772727272727273,0.4597069597069597,small,factuality
gpt_sage,alexa_graphconv,onsite_sage,0.5040066316662061,0.6666666666666666,0.5555555555555556,0.5253968253968254,0.5146520146520147,small,factuality
gpt_sage,alexa_graphconv,onsite_graphconv,0.43050960735171256,0.7333333333333333,0.5111111111111111,0.47420634920634913,0.4242979242979243,small,factuality
gpt_sage,alexa_graphconv,articles,0.6259863945578231,0.3191489361702128,0.7021276595744681,0.628863889733455,0.663003663003663,small,factuality
gpt_sage,alexa_graphconv,wiki,0.48484848484848486,0.5531914893617021,0.5957446808510638,0.5189393939393939,0.4835164835164835,small,factuality
gpt_sage,onsite_sage,onsite_graphconv,0.22776622776622776,1.1111111111111112,0.28888888888888886,0.24615384615384617,0.37545787545787546,small,factuality
gpt_sage,onsite_sage,articles,0.6223996129656507,0.26666666666666666,0.7333333333333333,0.6296296296296297,0.6172161172161172,small,factuality
gpt_sage,onsite_sage,wiki,0.39925571504518875,0.6444444444444445,0.4222222222222222,0.4682539682539682,0.42277167277167277,small,factuality
gpt_sage,onsite_graphconv,articles,0.5299145299145299,0.26666666666666666,0.7555555555555555,0.4928774928774929,0.5854700854700855,small,factuality
