embedding1,embedding2,embedding3,embedding4,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,0.5101659696467555,0.6595744680851063,0.5531914893617021,0.6242424242424243,0.5860805860805861,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,0.4554843304843305,0.4888888888888889,0.6444444444444445,0.6303418803418803,0.45146520146520147,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_graphconv,0.34722222222222215,0.5333333333333333,0.5111111111111111,0.32666666666666666,0.3846153846153846,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,articles,0.6591517497177874,0.2553191489361702,0.7446808510638298,0.6574074074074074,0.6648351648351648,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,wiki,0.4415548675610596,0.48936170212765956,0.5957446808510638,0.4609870416322029,0.5091575091575091,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,0.4905901116427432,0.8,0.4888888888888889,0.5647342995169082,0.5805860805860806,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_graphconv,0.3940117853161332,0.9111111111111111,0.4,0.44577644577644576,0.4447496947496948,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,articles,0.6026936026936027,0.2978723404255319,0.7021276595744681,0.6038961038961039,0.6410256410256411,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,wiki,0.42397660818713456,0.46808510638297873,0.6170212765957447,0.40322580645161293,0.44871794871794873,small,factuality
gpt_sage,gpt_graphconv,onsite_sage,onsite_graphconv,0.3191721132897603,0.5555555555555556,0.5777777777777777,0.3650793650793651,0.36813186813186816,small,factuality
gpt_sage,gpt_graphconv,onsite_sage,articles,0.5847687400318979,0.3111111111111111,0.7111111111111111,0.6091954022988505,0.648962148962149,small,factuality
gpt_sage,gpt_graphconv,onsite_sage,wiki,0.4145580296896087,0.6222222222222222,0.4444444444444444,0.4743589743589744,0.4355921855921856,small,factuality
