embedding1,embedding2,embedding3,embedding4,embedding5,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_sage,0.4245960245960246,0.9333333333333333,0.4222222222222222,0.5663780663780664,0.5122100122100122,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,0.482348569305091,0.6222222222222222,0.5333333333333333,0.4837662337662338,0.5018315018315018,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,articles,0.5603721948549535,0.3191489361702128,0.6808510638297872,0.5699404761904762,0.5824175824175825,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,wiki,0.5103174603174604,0.5319148936170213,0.574468085106383,0.5194805194805195,0.5402930402930403,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,onsite_graphconv,0.5250882811858422,0.7111111111111111,0.5333333333333333,0.5666666666666667,0.6062271062271063,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,articles,0.41911421911421903,0.35555555555555557,0.6444444444444445,0.39490968801313625,0.4465811965811966,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,wiki,0.47301587301587306,0.6666666666666666,0.5111111111111111,0.5069444444444444,0.5833333333333334,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_graphconv,articles,0.6448125143777318,0.3333333333333333,0.7111111111111111,0.6376811594202899,0.6739926739926739,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_graphconv,wiki,0.4166666666666667,0.5333333333333333,0.4888888888888889,0.503968253968254,0.45146520146520147,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,articles,wiki,0.6081996434937611,0.2978723404255319,0.7021276595744681,0.6091954022988505,0.6410256410256411,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,onsite_graphconv,0.4211756497470783,0.6666666666666666,0.4888888888888889,0.4197722567287785,0.4264346764346764,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,articles,0.6115393283750281,0.28888888888888886,0.7333333333333333,0.6826388888888889,0.6617826617826618,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,wiki,0.4370015948963317,0.8666666666666667,0.4444444444444444,0.5451770451770451,0.525030525030525,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_graphconv,articles,0.5250845165652468,0.37777777777777777,0.6666666666666666,0.5479738562091504,0.539072039072039,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_graphconv,wiki,0.4669824863623313,0.8,0.4888888888888889,0.5299019607843137,0.49603174603174605,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,articles,wiki,0.5351213282247765,0.3829787234042553,0.6595744680851063,0.5681818181818182,0.5934065934065934,small,factuality
gpt_sage,gpt_graphconv,onsite_sage,onsite_graphconv,articles,0.6049187527448397,0.3333333333333333,0.7333333333333333,0.6213166144200627,0.5973748473748474,small,factuality
gpt_sage,gpt_graphconv,onsite_sage,onsite_graphconv,wiki,0.5200774754346184,0.4,0.6444444444444445,0.5920289855072464,0.5412087912087912,small,factuality
gpt_sage,gpt_graphconv,onsite_sage,articles,wiki,0.36281859070464767,0.4222222222222222,0.6,0.3409090909090909,0.391025641025641,small,factuality
gpt_sage,gpt_graphconv,onsite_graphconv,articles,wiki,0.4893081761006289,0.3111111111111111,0.7111111111111111,0.4506172839506173,0.5448717948717948,small,factuality
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_sage,onsite_graphconv,0.4676434676434676,0.5555555555555556,0.5777777777777777,0.4814814814814814,0.4627594627594627,small,factuality
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_sage,articles,0.6296296296296297,0.26666666666666666,0.7333333333333333,0.6523809523809524,0.6172161172161172,small,factuality
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_sage,wiki,0.4786604786604787,0.4222222222222222,0.5777777777777777,0.5829629629629629,0.5027472527472527,small,factuality
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,articles,0.46162464985994395,0.9111111111111111,0.4444444444444444,0.626984126984127,0.554945054945055,small,factuality
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,wiki,0.46956521739130447,0.4222222222222222,0.6888888888888889,0.447415329768271,0.5021367521367521,small,factuality
gpt_sage,alexa_resgatedconv,alexa_graphconv,articles,wiki,0.5318511198945982,0.3617021276595745,0.6595744680851063,0.5351213282247764,0.5457875457875457,small,factuality
gpt_sage,alexa_resgatedconv,onsite_sage,onsite_graphconv,articles,0.5476224611708483,0.3333333333333333,0.6888888888888889,0.6162280701754386,0.5668498168498168,small,factuality
gpt_sage,alexa_resgatedconv,onsite_sage,onsite_graphconv,wiki,0.5323491323491324,0.35555555555555557,0.6888888888888889,0.5977011494252874,0.5369352869352869,small,factuality
gpt_sage,alexa_resgatedconv,onsite_sage,articles,wiki,0.4518518518518519,0.4444444444444444,0.6444444444444445,0.3868092691622103,0.5457875457875457,small,factuality
gpt_sage,alexa_resgatedconv,onsite_graphconv,articles,wiki,0.45855379188712525,0.3333333333333333,0.6888888888888889,0.4222222222222222,0.5021367521367521,small,factuality
gpt_sage,alexa_graphconv,onsite_sage,onsite_graphconv,articles,0.6401154401154402,0.28888888888888886,0.7333333333333333,0.6515234446268928,0.6370573870573871,small,factuality
