embedding1,embedding2,embedding3,embedding4,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,alexa_resgatedconv,alexa_graphconv,0.5151353276353277,0.6808510638297872,0.5106382978723404,0.5277777777777778,0.5098039215686274,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_sage,0.5535205535205536,0.5777777777777777,0.5555555555555556,0.56203007518797,0.5490196078431372,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,onsite_graphconv,0.4368606701940036,0.7333333333333333,0.4444444444444444,0.4358974358974359,0.438375350140056,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,articles,0.8661064425770308,0.2127659574468085,0.8723404255319149,0.8799136879632236,0.8643207282913165,small,bias
gpt_sage,gpt_graphconv,alexa_resgatedconv,wiki,0.6725308641975308,0.48936170212765956,0.6808510638297872,0.6868686868686869,0.6792717086834733,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_sage,0.5441884280593957,0.5555555555555556,0.5333333333333333,0.5705882352941177,0.5336134453781513,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,onsite_graphconv,0.5078155078155078,0.6,0.5111111111111111,0.514957264957265,0.5056022408963585,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,articles,0.7837690631808277,0.2978723404255319,0.7872340425531915,0.8078431372549019,0.7804621848739496,small,bias
gpt_sage,gpt_graphconv,alexa_graphconv,wiki,0.6903624054161689,0.46808510638297873,0.7021276595744681,0.7016605685336336,0.6988795518207284,small,bias
gpt_sage,gpt_graphconv,onsite_sage,onsite_graphconv,0.2728787878787879,0.9777777777777777,0.28888888888888886,0.26889952153110047,0.28431372549019607,small,bias
gpt_sage,gpt_graphconv,onsite_sage,articles,0.8880303030303031,0.15555555555555556,0.8888888888888888,0.9050925925925926,0.8893557422969187,small,bias
gpt_sage,gpt_graphconv,onsite_sage,wiki,0.7031746031746032,0.4222222222222222,0.7111111111111111,0.7043142043142043,0.7030812324929973,small,bias
gpt_sage,gpt_graphconv,onsite_graphconv,articles,0.7696143015836111,0.3333333333333333,0.7777777777777778,0.8046296296296296,0.7745098039215685,small,bias
gpt_sage,gpt_graphconv,onsite_graphconv,wiki,0.6266666666666666,0.5555555555555556,0.6444444444444445,0.6285774410774411,0.6316526610644259,small,bias
gpt_sage,gpt_graphconv,articles,wiki,0.8510327379004995,0.2127659574468085,0.851063829787234,0.8496732026143791,0.853641456582633,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_sage,0.5847414234511009,0.5111111111111111,0.5777777777777777,0.608714596949891,0.5770308123249299,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,onsite_graphconv,0.5242165242165243,0.6222222222222222,0.5333333333333333,0.5263157894736842,0.5252100840336135,small,bias
gpt_sage,alexa_resgatedconv,alexa_graphconv,articles,0.8964368964368964,0.14893617021276595,0.8936170212765957,0.9089912280701755,0.8923319327731093,small,bias
