embedding1,embedding2,embedding3,f1_score,mae,accuracy,precision,recall,dataset,target
gpt_sage,gpt_graphconv,alexa_resgatedconv,0.41534391534391535,0.6382978723404256,0.48936170212765956,0.4220779220779221,0.4194139194139194,small,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,0.41904761904761906,0.7021276595744681,0.48936170212765956,0.44155844155844154,0.4194139194139194,small,factuality
gpt_sage,gpt_graphconv,onsite_sage,0.348141718614377,1.0888888888888888,0.3333333333333333,0.5796676441837733,0.4908424908424909,small,factuality
gpt_sage,gpt_graphconv,onsite_graphconv,0.4792500732350356,0.6888888888888889,0.5333333333333333,0.5112491373360938,0.5067155067155067,small,factuality
gpt_sage,gpt_graphconv,articles,0.6115649963689179,0.2765957446808511,0.723404255319149,0.6105982905982906,0.6172161172161172,small,factuality
gpt_sage,gpt_graphconv,wiki,0.49558005020189894,0.425531914893617,0.6170212765957447,0.508695652173913,0.5054945054945055,small,factuality
gpt_sage,alexa_resgatedconv,alexa_graphconv,0.45119277885235337,0.6595744680851063,0.5106382978723404,0.47215007215007215,0.467032967032967,small,factuality
gpt_sage,alexa_resgatedconv,onsite_sage,0.5008547008547009,0.7111111111111111,0.5111111111111111,0.5413105413105413,0.5735653235653236,small,factuality
gpt_sage,alexa_resgatedconv,onsite_graphconv,0.42090007627765064,0.6888888888888889,0.4888888888888889,0.4337606837606838,0.4264346764346764,small,factuality
gpt_sage,alexa_resgatedconv,articles,0.4893867924528303,0.2978723404255319,0.7021276595744681,0.46296296296296297,0.521978021978022,small,factuality
gpt_sage,alexa_resgatedconv,wiki,0.506832298136646,0.5319148936170213,0.5957446808510638,0.5343915343915344,0.5183150183150184,small,factuality
gpt_sage,alexa_graphconv,onsite_sage,0.41265909872721024,0.7555555555555555,0.4888888888888889,0.43555555555555553,0.4114774114774115,small,factuality
gpt_sage,alexa_graphconv,onsite_graphconv,0.44810744810744807,0.6,0.5777777777777777,0.46296296296296297,0.44291819291819295,small,factuality
gpt_sage,alexa_graphconv,articles,0.6121794871794871,0.3404255319148936,0.6808510638297872,0.6130536130536131,0.6501831501831502,small,factuality
gpt_sage,alexa_graphconv,wiki,0.4378787878787878,0.5531914893617021,0.574468085106383,0.4497126436781609,0.4358974358974359,small,factuality
gpt_sage,onsite_sage,onsite_graphconv,0.4030026990553306,1.0444444444444445,0.37777777777777777,0.6339285714285715,0.5015262515262515,small,factuality
gpt_sage,onsite_sage,articles,0.7242518059855522,0.2222222222222222,0.8,0.7366666666666667,0.76007326007326,small,factuality
gpt_sage,onsite_sage,wiki,0.3861478964022032,0.5555555555555556,0.5333333333333333,0.38544171877505207,0.3873626373626374,small,factuality
gpt_sage,onsite_graphconv,articles,0.7584498834498835,0.2222222222222222,0.8222222222222222,0.7595441595441595,0.768009768009768,small,factuality
gpt_sage,onsite_graphconv,wiki,0.4447712418300654,0.5333333333333333,0.5777777777777777,0.44722222222222224,0.44291819291819295,small,factuality
gpt_sage,articles,wiki,0.5941644562334217,0.2765957446808511,0.723404255319149,0.5965811965811966,0.5934065934065934,small,factuality
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,0.3418679549114332,1.0,0.3404255319148936,0.4648786717752235,0.4230769230769231,small,factuality
gpt_graphconv,alexa_resgatedconv,onsite_sage,0.5513800620183599,0.5333333333333333,0.6,0.5555555555555556,0.5949328449328449,small,factuality
gpt_graphconv,alexa_resgatedconv,onsite_graphconv,0.4998692810457517,0.6,0.5555555555555556,0.49627039627039626,0.5146520146520147,small,factuality
gpt_graphconv,alexa_resgatedconv,articles,0.6544997486173957,0.2553191489361702,0.7446808510638298,0.6608333333333333,0.652014652014652,small,factuality
gpt_graphconv,alexa_resgatedconv,wiki,0.4959990090424873,0.5531914893617021,0.5531914893617021,0.52046783625731,0.5274725274725275,small,factuality
gpt_graphconv,alexa_graphconv,onsite_sage,0.49285551541190636,0.6444444444444445,0.5555555555555556,0.5257418909592823,0.5195360195360195,small,factuality
gpt_graphconv,alexa_graphconv,onsite_graphconv,0.5243867243867243,0.4666666666666667,0.6222222222222222,0.5323846013501186,0.5231990231990232,small,factuality
gpt_graphconv,alexa_graphconv,articles,0.6363689179375455,0.2765957446808511,0.723404255319149,0.6322649572649572,0.652014652014652,small,factuality
gpt_graphconv,alexa_graphconv,wiki,0.44761904761904764,0.5106382978723404,0.6170212765957447,0.5051353874883286,0.45054945054945056,small,factuality
gpt_graphconv,onsite_sage,onsite_graphconv,0.13095238095238096,0.7555555555555555,0.24444444444444444,0.08333333333333333,0.3055555555555555,small,factuality
gpt_graphconv,onsite_sage,articles,0.6232852115205056,0.28888888888888886,0.7333333333333333,0.6262108262108262,0.6370573870573871,small,factuality
gpt_graphconv,onsite_sage,wiki,0.40048840048840045,0.5777777777777777,0.6,0.6051051051051052,0.4108669108669109,small,factuality
gpt_graphconv,onsite_graphconv,articles,0.6282271187931565,0.26666666666666666,0.7555555555555555,0.6534391534391534,0.6251526251526252,small,factuality
gpt_graphconv,onsite_graphconv,wiki,0.41478129713423834,0.5777777777777777,0.5333333333333333,0.41460317460317464,0.4172771672771673,small,factuality
gpt_graphconv,articles,wiki,0.5437641723356009,0.3404255319148936,0.6595744680851063,0.5480072463768116,0.5439560439560439,small,factuality
alexa_resgatedconv,alexa_graphconv,onsite_sage,0.5342071611253197,0.5555555555555556,0.6,0.5329292929292929,0.5402930402930403,small,factuality
alexa_resgatedconv,alexa_graphconv,onsite_graphconv,0.4573162979913552,0.6,0.5333333333333333,0.4621212121212121,0.47191697191697185,small,factuality
alexa_resgatedconv,alexa_graphconv,articles,0.6852766798418973,0.23404255319148937,0.7659574468085106,0.6947637292464878,0.7014652014652015,small,factuality
alexa_resgatedconv,alexa_graphconv,wiki,0.44873949579831934,0.5106382978723404,0.574468085106383,0.4511904761904762,0.4468864468864469,small,factuality
alexa_resgatedconv,onsite_sage,onsite_graphconv,0.45573870573870573,0.6,0.5555555555555556,0.4703703703703703,0.44993894993894995,small,factuality
alexa_resgatedconv,onsite_sage,articles,0.7606837606837606,0.17777777777777778,0.8222222222222222,0.7886446886446888,0.7481684981684982,small,factuality
alexa_resgatedconv,onsite_sage,wiki,0.4441132637853949,0.4444444444444444,0.6666666666666666,0.42857142857142855,0.4743589743589744,small,factuality
alexa_resgatedconv,onsite_graphconv,articles,0.7528205128205127,0.2,0.8222222222222222,0.7606837606837606,0.7481684981684982,small,factuality
alexa_resgatedconv,onsite_graphconv,wiki,0.5271512113617377,0.4666666666666667,0.6444444444444445,0.5550776583034648,0.5161782661782661,small,factuality
alexa_resgatedconv,articles,wiki,0.6855773420479303,0.23404255319148937,0.7659574468085106,0.6836363636363636,0.7124542124542126,small,factuality
alexa_graphconv,onsite_sage,onsite_graphconv,0.38730158730158726,0.4888888888888889,0.6222222222222222,0.3828828828828829,0.4188034188034188,small,factuality
alexa_graphconv,onsite_sage,articles,0.6228491396558624,0.3111111111111111,0.7111111111111111,0.618840579710145,0.6391941391941391,small,factuality
alexa_graphconv,onsite_sage,wiki,0.4437037037037037,0.6666666666666666,0.5111111111111111,0.479775828460039,0.47893772893772896,small,factuality
alexa_graphconv,onsite_graphconv,articles,0.6225071225071225,0.3111111111111111,0.7333333333333333,0.6372377622377622,0.6370573870573871,small,factuality
alexa_graphconv,onsite_graphconv,wiki,0.40221216691804923,0.5777777777777777,0.5555555555555556,0.3961904761904762,0.4102564102564103,small,factuality
alexa_graphconv,articles,wiki,0.6286044782285384,0.2978723404255319,0.7021276595744681,0.6243961352657005,0.663003663003663,small,factuality
onsite_sage,onsite_graphconv,articles,0.697598293427489,0.26666666666666666,0.7777777777777778,0.7407407407407408,0.7322954822954824,small,factuality
onsite_sage,onsite_graphconv,wiki,0.3095238095238095,0.5333333333333333,0.5111111111111111,0.2920634920634921,0.32967032967032966,small,factuality
onsite_sage,articles,wiki,0.734635330464526,0.24444444444444444,0.8,0.7638287638287639,0.76007326007326,small,factuality
onsite_graphconv,articles,wiki,0.725992961287079,0.24444444444444444,0.8,0.7336182336182336,0.7402319902319903,small,factuality
gpt_sage,gpt_graphconv,alexa_resgatedconv,0.23884615384615387,0.775,0.43333333333333335,0.27751668975659183,0.362254120148857,large,factuality
gpt_sage,gpt_graphconv,alexa_graphconv,0.19147286821705428,0.6083333333333333,0.525,0.21542976939203357,0.25901116427432214,large,factuality
gpt_sage,gpt_graphconv,onsite_sage,0.2637674867797271,0.4977973568281938,0.6079295154185022,0.26397870714417476,0.26582048088897403,large,factuality
gpt_sage,gpt_graphconv,onsite_graphconv,0.26418426423424546,0.6035242290748899,0.5374449339207048,0.2655840455840456,0.28686017179167866,large,factuality
gpt_sage,gpt_graphconv,articles,0.4272590097203214,0.3373015873015873,0.7222222222222222,0.4165873015873016,0.5094454887218045,large,factuality
gpt_sage,gpt_graphconv,wiki,0.4710196779964221,0.44166666666666665,0.6791666666666667,0.4426374127354296,0.5689838770153731,large,factuality
gpt_sage,alexa_resgatedconv,alexa_graphconv,0.26177835184706794,0.475,0.5916666666666667,0.27569169960474305,0.30308346624136095,large,factuality
gpt_sage,alexa_resgatedconv,onsite_sage,0.2486944444444444,0.5583333333333333,0.5333333333333333,0.24006410256410254,0.2716108452950558,large,factuality
gpt_sage,alexa_resgatedconv,onsite_graphconv,0.20688449848024315,0.7333333333333333,0.4583333333333333,0.21876923076923077,0.2501329080276449,large,factuality
gpt_sage,alexa_resgatedconv,articles,0.3610242237715386,0.35,0.675,0.3514156423897756,0.4110579479000531,large,factuality
gpt_sage,alexa_resgatedconv,wiki,0.2964609800362976,0.4827586206896552,0.5689655172413793,0.29401337792642146,0.3263888888888889,large,factuality
gpt_sage,alexa_graphconv,onsite_sage,0.21464480874316944,0.7833333333333333,0.4166666666666667,0.22926037377256892,0.265337586390218,large,factuality
gpt_sage,alexa_graphconv,onsite_graphconv,0.16833000665335995,0.6083333333333333,0.5166666666666667,0.143014301430143,0.20707070707070704,large,factuality
gpt_sage,alexa_graphconv,articles,0.37747076749325786,0.35833333333333334,0.6833333333333333,0.3680392156862745,0.39133439659755453,large,factuality
gpt_sage,alexa_graphconv,wiki,0.208508712350547,0.896551724137931,0.4224137931034483,0.27947542653425006,0.24305555555555552,large,factuality
gpt_sage,onsite_sage,onsite_graphconv,0.2734557541188781,0.7929515418502202,0.4977973568281938,0.2970682121631977,0.32285372162084486,large,factuality
gpt_sage,onsite_sage,articles,0.4015798851601948,0.3524229074889868,0.7004405286343612,0.39524617996604416,0.46110738576492,large,factuality
gpt_sage,onsite_sage,wiki,0.3419024390243902,0.6527777777777778,0.5740740740740741,0.3863872519135677,0.43894562953386485,large,factuality
gpt_sage,onsite_graphconv,articles,0.39960226366969553,0.29955947136563876,0.748898678414097,0.3844277044380101,0.4424050835009739,large,factuality
gpt_sage,onsite_graphconv,wiki,0.3899613253778649,0.44907407407407407,0.6574074074074074,0.38269154228855723,0.47702003878474464,large,factuality
gpt_sage,articles,wiki,0.42915737298636925,0.3541666666666667,0.7208333333333333,0.4442777175875768,0.5134708161479815,large,factuality
gpt_graphconv,alexa_resgatedconv,alexa_graphconv,0.24651851851851853,0.6333333333333333,0.49166666666666664,0.27222222222222225,0.326528442317916,large,factuality
gpt_graphconv,alexa_resgatedconv,onsite_sage,0.2690324814301901,0.475,0.6,0.321097241485591,0.2869218500797448,large,factuality
gpt_graphconv,alexa_resgatedconv,onsite_graphconv,0.24157160145219847,0.7416666666666667,0.475,0.2942577030812325,0.26735778841041996,large,factuality
gpt_graphconv,alexa_resgatedconv,articles,0.3395913154533844,0.375,0.65,0.34646395156851956,0.412227538543328,large,factuality
gpt_graphconv,alexa_resgatedconv,wiki,0.31918142463597016,0.4827586206896552,0.5862068965517241,0.3221772379667117,0.36354166666666665,large,factuality
gpt_graphconv,alexa_graphconv,onsite_sage,0.1596729081486497,1.125,0.275,0.3236511156186613,0.2624667729930888,large,factuality
gpt_graphconv,alexa_graphconv,onsite_graphconv,0.15851996105160662,1.1333333333333333,0.25,0.22888888888888886,0.24311536416799573,large,factuality
gpt_graphconv,alexa_graphconv,articles,0.40574162679425835,0.4083333333333333,0.65,0.40449999999999997,0.43928761297182345,large,factuality
gpt_graphconv,alexa_graphconv,wiki,0.2745202123315639,0.47413793103448276,0.6206896551724138,0.2703100775193798,0.2809027777777778,large,factuality
gpt_graphconv,onsite_sage,onsite_graphconv,0.253043956043956,0.788546255506608,0.4713656387665198,0.302123745819398,0.31171280774020504,large,factuality
gpt_graphconv,onsite_sage,articles,0.4138957476243011,0.4052863436123348,0.6740088105726872,0.4307822053552603,0.4874224861896095,large,factuality
gpt_graphconv,onsite_sage,wiki,0.36748584867407347,0.42592592592592593,0.6759259259259259,0.3469433006018372,0.4219701213818861,large,factuality
gpt_graphconv,onsite_graphconv,articles,0.3910996116545413,0.5022026431718062,0.6519823788546255,0.4407719609582964,0.43464412300028743,large,factuality
gpt_graphconv,onsite_graphconv,wiki,0.3276607083407229,0.75,0.5185185185185185,0.4295003607503608,0.4742562666092078,large,factuality
gpt_graphconv,articles,wiki,0.3730225556235967,0.45416666666666666,0.6458333333333334,0.4190807723191474,0.4601787276590426,large,factuality
alexa_resgatedconv,alexa_graphconv,onsite_sage,0.2561277280981259,0.4793388429752066,0.5867768595041323,0.2562647754137116,0.314960286287859,large,factuality
alexa_resgatedconv,alexa_graphconv,onsite_graphconv,0.21235653235653235,0.6942148760330579,0.4628099173553719,0.2182793360875553,0.2532251025573885,large,factuality
alexa_resgatedconv,alexa_graphconv,articles,0.38726156634944175,0.3305785123966942,0.6942148760330579,0.37606837606837606,0.44109278170550753,large,factuality
